,episode,learning_rate,best_value,discount,epsilondecay
179,0,0.6,-200.0,1.0,0.0018
180,0,0.6,-200.0,1.0,0.0036
181,0,0.7000000000000001,-200.0,0.1,0.0009
182,0,0.7000000000000001,-200.0,0.1,0.0018
183,0,0.7000000000000001,-200.0,0.1,0.0036
184,0,0.7000000000000001,-200.0,0.2,0.0009
185,0,0.7000000000000001,-200.0,0.2,0.0018
186,0,0.7000000000000001,-200.0,0.2,0.0036
187,0,0.7000000000000001,-200.0,0.30000000000000004,0.0009
188,0,0.7000000000000001,-200.0,0.30000000000000004,0.0018
189,0,0.7000000000000001,-200.0,0.30000000000000004,0.0036
190,0,0.7000000000000001,-200.0,0.4,0.0009
191,0,0.7000000000000001,-200.0,0.4,0.0018
192,0,0.7000000000000001,-200.0,0.4,0.0036
193,0,0.7000000000000001,-200.0,0.5,0.0009
194,0,0.7000000000000001,-200.0,0.5,0.0018
195,0,0.7000000000000001,-200.0,0.5,0.0036
196,0,0.7000000000000001,-200.0,0.6,0.0009
197,0,0.7000000000000001,-200.0,0.6,0.0018
198,0,0.7000000000000001,-200.0,0.6,0.0036
199,0,0.7000000000000001,-200.0,0.7000000000000001,0.0009
200,0,0.7000000000000001,-200.0,0.7000000000000001,0.0018
201,0,0.7000000000000001,-200.0,0.7000000000000001,0.0036
202,0,0.7000000000000001,-200.0,0.8,0.0009
203,0,0.7000000000000001,-200.0,0.8,0.0018
204,0,0.7000000000000001,-200.0,0.8,0.0036
205,0,0.7000000000000001,-200.0,0.9,0.0009
206,0,0.7000000000000001,-200.0,0.9,0.0018
207,0,0.7000000000000001,-200.0,0.9,0.0036
208,0,0.7000000000000001,-200.0,1.0,0.0009
209,0,0.7000000000000001,-200.0,1.0,0.0018
210,0,0.7000000000000001,-200.0,1.0,0.0036
211,0,0.8,-200.0,0.1,0.0009
212,0,0.8,-200.0,0.1,0.0018
213,0,0.8,-200.0,0.1,0.0036
214,0,0.8,-200.0,0.2,0.0009
215,0,0.8,-200.0,0.2,0.0018
216,0,0.8,-200.0,0.2,0.0036
217,0,0.8,-200.0,0.30000000000000004,0.0009
218,0,0.8,-200.0,0.30000000000000004,0.0018
219,0,0.8,-200.0,0.30000000000000004,0.0036
220,0,0.8,-200.0,0.4,0.0009
221,0,0.8,-200.0,0.4,0.0018
222,0,0.8,-200.0,0.4,0.0036
223,0,0.8,-200.0,0.5,0.0009
224,0,0.8,-200.0,0.5,0.0018
225,0,0.8,-200.0,0.5,0.0036
226,0,0.8,-200.0,0.6,0.0009
227,0,0.8,-200.0,0.6,0.0018
228,0,0.8,-200.0,0.6,0.0036
229,804,0.8,-177.0,0.6,0.0036
230,0,0.8,-200.0,0.7000000000000001,0.0009
231,0,0.8,-200.0,0.7000000000000001,0.0018
232,0,0.8,-200.0,0.7000000000000001,0.0036
233,0,0.8,-200.0,0.8,0.0009
234,0,0.8,-200.0,0.8,0.0018
235,0,0.8,-200.0,0.8,0.0036
